Slice,Count,Total Area,Average Size,%Area,Mean,Mode,IntDen
Hg_0.1_uM_A_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,33,1449.597500801,43.927196994,0.081801415,254.822325735,255,11194.905687737
Hg_0.1_uM_A_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,134,17498.682533264,130.587183084,0.987458231,254.731088097,255,33278.023326361
Hg_0.1_uM_A_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,46,2584.010000229,56.174130440,0.145816803,254.919659822,255,14322.061135997
Hg_0.1_uM_A_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,149,18816.882477760,126.287801864,1.061844824,254.296421537,255,32159.282183961
Hg_0.1_uM_A_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,58,3234.237489700,55.762715340,0.182509422,254.992120940,255,14217.634782462
Hg_0.1_uM_A_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,151,20250.847466469,134.111572626,1.142764090,254.587906187,255,34169.197825047
Hg_0.1_uM_A_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,52,3003.552511215,57.760625216,0.169491769,254.773780823,255,14722.743750939
Hg_0.1_uM_A_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,122,12187.434991837,99.897008130,0.687742233,254.557941249,255,25443.711882044
Hg_0.1_uM_A_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,98,8362.542500496,85.332066332,0.471901894,254.817983822,255,21745.385176678
Hg_0.1_uM_A_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,139,13447.329962730,96.743381027,0.758838651,254.776069586,255,24650.960131309
Hg_0.1_uM_A_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,117,6995.755003929,59.792777811,0.394773483,254.888559456,255,15242.554203392
Hg_0.1_uM_A_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,288,32576.862509727,113.114105937,1.838326455,254.745458391,255,28824.270410326
Hg_0.1_uM_A_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,137,9150.082467079,66.788923117,0.516343115,254.907240039,255,17028.816185276
Hg_0.1_uM_A_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,237,24117.990011215,101.763670933,1.360988618,254.779436779,255,25934.279968519
Hg_0.1_uM_A_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,140,8141.997529984,58.157125214,0.459456445,254.942073604,255,14826.219142369
Hg_0.1_uM_A_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,308,32121.407621384,104.290284485,1.812624938,254.873505382,255,26581.779640099
Hg_0.1_uM_A_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,38,1943.922508240,51.155855480,0.109696389,254.709808751,255,13033.402247379
Hg_0.1_uM_A_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,148,18334.387559891,123.880997026,1.034617427,254.055586428,255,31544.520954854
Hg_0.1_uM_A_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,49,3410.842503548,69.609030685,0.192475319,254.848423238,255,17739.309206593
Hg_0.1_uM_A_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,117,14322.327543259,122.413055925,0.808215144,254.861986340,255,31195.070765308
Hg_0.1_uM_B_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,65,5075.069984436,78.077999761,0.286388396,254.679642193,255,19896.630006761
Hg_0.1_uM_B_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,299,33816.899958611,113.099999862,1.908302305,254.895983029,255,28829.329909921
Hg_0.1_uM_B_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,50,2407.404994011,48.148099880,0.135850906,254.507336731,255,12262.682290039
Hg_0.1_uM_B_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,89,9829.462518692,110.443399086,0.554680825,254.847138823,255,28148.540274974
Hg_0.1_uM_B_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,24,757.120007515,31.546666980,0.042724610,254.964700699,255,8039.911020915
Hg_0.1_uM_B_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,120,13677.169982910,113.976416524,0.771808623,254.691377640,255,29042.438767497
Hg_0.1_uM_B_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,37,1528.182506561,41.302229907,0.086236000,253.681565156,255,10502.950267895
Hg_0.1_uM_B_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,156,22412.357477188,143.668958187,1.264739035,254.811794379,255,36607.959244166
Hg_0.1_uM_B_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,39,1729.292502403,44.340833395,0.097584725,254.712096777,255,11301.387394832
Hg_0.1_uM_B_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,249,29837.795012474,119.830502058,1.683759690,254.750400650,255,30537.740002981
Hg_0.1_uM_B_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,26,1033.012504578,39.731250176,0.058293343,254.807821421,255,10123.181274414
Hg_0.1_uM_B_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,89,10563.767509460,118.694016960,0.596117974,254.589279175,255,30243.974208875
Hg_0.1_uM_B_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,51,2823.145005226,55.355784416,0.159311295,254.608412200,255,14107.274955002
Hg_0.1_uM_B_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,164,20844.882481575,127.102941961,1.176285743,254.493319163,255,32385.629713105
Hg_0.1_uM_B_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,72,3876.859975815,53.845277442,0.218772887,254.906322267,255,13724.560394287
Hg_0.1_uM_B_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,221,25271.837509155,114.352205924,1.426100731,254.702882724,255,29139.824932392
Hg_0.1_uM_B_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,47,3297.190023422,70.152979222,0.186061860,254.917789540,255,17884.425064412
Hg_0.1_uM_B_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,134,14465.977519989,107.955056119,0.816321374,254.502930029,255,27493.966793231
Hg_0.1_uM_B_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,51,4722.705004692,92.602058916,0.266504288,254.628402411,255,23586.062571806
Hg_0.1_uM_B_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,102,10313.224972725,101.110048752,0.581979750,254.322328754,255,25746.093776329
Hg_0.1_uM_C_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,121,6714.370052338,55.490661590,0.378894809,254.942060234,255,14147.447382651
Hg_0.1_uM_C_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,295,30797.292506218,104.397601716,1.737904549,254.793335426,255,26604.588681806
Hg_0.1_uM_C_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,124,6797.602490425,54.819374923,0.383591651,254.985205373,255,13978.071777344
Hg_0.1_uM_C_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,283,23399.740036964,82.684593770,1.320457461,254.840701747,255,21072.008301644
Hg_0.1_uM_C_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,123,6846.612504005,55.663516293,0.386357308,254.964933814,255,14191.568861550
Hg_0.1_uM_C_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,243,22719.937537193,93.497685338,1.282095911,254.787629744,255,23829.495529112
Hg_0.1_uM_C_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,127,11242.302467346,88.522066672,0.634407995,254.884322880,255,22567.188768762
Hg_0.1_uM_C_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,190,14465.132512093,76.132276379,0.816273690,254.838155807,255,19405.224888209
Hg_0.1_uM_C_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,219,15036.775011063,68.661073110,0.848531724,254.955161735,255,17504.637951716
Hg_0.1_uM_C_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,304,23736.472535133,78.080501760,1.339459421,254.901550544,255,19903.085538362
Hg_0.1_uM_C_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,143,9273.452498436,64.849318171,0.523304939,254.930771621,255,16530.548855441
Hg_0.1_uM_C_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,365,40014.552536011,109.628911058,2.258038523,254.899218290,255,27947.993042996
Hg_0.1_uM_C_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,102,6529.314981461,64.012891975,0.368452071,254.834790548,255,16310.612500957
Hg_0.1_uM_C_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,396,33294.689949036,84.077499871,1.878833768,254.673404193,255,21427.247527151
Hg_0.1_uM_C_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,87,5154.922481537,59.251982546,0.290894507,254.991171651,255,15108.017216123
Hg_0.1_uM_C_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,249,25410.417455673,102.049869300,1.433920858,254.802414737,255,26008.438334392
Hg_0.1_uM_C_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,80,3760.672486305,47.008406079,0.212216376,254.967139244,255,11985.796890259
Hg_0.1_uM_C_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,310,32205.907672882,103.890024751,1.817393313,254.847061748,255,26480.139770508
Hg_0.1_uM_C_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,139,6262.717511177,45.055521663,0.353407860,255.000000000,255,11489.157980061
Hg_0.1_uM_C_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,370,37436.035062790,101.178473143,2.112531666,254.893576297,255,25790.028083430
Hg_0_uM_A_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,53,6564.382492065,123.856273435,0.370430946,253.920157954,255,31556.923537920
Hg_0_uM_A_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,160,23385.374958038,146.158593488,1.319646833,254.865444851,255,37254.280860901
Hg_0_uM_A_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,52,2961.724992752,56.956249861,0.167131424,254.976648477,255,14521.771859976
Hg_0_uM_A_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,207,24040.672576904,116.138514864,1.356625561,254.843306463,255,29593.981866367
Hg_0_uM_A_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,51,2349.944998741,46.077352916,0.132608414,254.990366019,255,11747.612505744
Hg_0_uM_A_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,192,24594.992518425,128.098919367,1.387906076,254.382146517,255,32637.167856852
Hg_0_uM_A_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,58,4609.052497864,79.466422377,0.260090828,254.683481940,255,20256.507509429
Hg_0_uM_A_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,194,26473.004992485,136.458788621,1.493883133,254.725304043,255,34770.334413509
Hg_0_uM_A_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,35,2511.339981079,71.752570888,0.141716002,254.696428571,255,18293.827532087
Hg_0_uM_A_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,119,16668.469916344,140.071175768,0.940608974,254.313506311,255,35669.260475479
Hg_0_uM_A_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,42,1678.592493057,39.966487930,0.094723701,254.734572638,255,10186.324067615
Hg_0_uM_A_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,213,30215.509977341,141.856854354,1.705074309,254.913466046,255,36156.300295261
Hg_0_uM_A_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,47,3072.420038223,65.370639111,0.173377993,254.980494722,255,16664.928123961
Hg_0_uM_A_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,146,16960.839965820,116.170136752,0.957107542,254.383167737,255,29581.323033163
Hg_0_uM_A_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,53,3238.462507248,61.103066174,0.182747841,254.982472546,255,15577.216290168
Hg_0_uM_A_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,163,23567.894952774,144.588312594,1.329946515,254.835289516,255,36847.546969361
Hg_0_uM_A_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,54,2722.590019226,50.418333689,0.153636933,254.981481481,255,12854.679841218
Hg_0_uM_A_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,198,22190.967458725,112.075593226,1.252245901,254.762341971,255,28557.511172516
Hg_0_uM_A_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,162,13894.757503510,85.770108046,0.784087181,254.853849906,255,21862.731927566
Hg_0_uM_A_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,351,34347.560118675,97.856296634,1.938247687,254.890492018,255,24946.295816362
Hg_0_uM_B_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,46,1948.147490501,42.351032402,0.109934806,254.535680688,255,10778.434188179
Hg_0_uM_B_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,188,18504.232471466,98.426768465,1.044201849,254.780192517,255,25083.353009163
Hg_0_uM_B_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,48,2586.544982910,53.886353811,0.145959853,255.000000000,255,13741.020324707
Hg_0_uM_B_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,109,10881.065005302,99.826284452,0.614023209,254.801533830,255,25437.911096975
Hg_0_uM_B_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,86,4681.299994469,54.433720866,0.264167785,254.792662510,255,13870.576699900
Hg_0_uM_B_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,224,26851.987462044,119.874944027,1.515269277,254.764857428,255,30544.062235151
Hg_0_uM_B_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,111,5992.740032196,53.988648939,0.338172914,254.695422611,255,13754.487476246
Hg_0_uM_B_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,205,20485.335101128,99.928463908,1.155996328,254.871916162,255,25466.517253001
Hg_0_uM_B_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,32,1675.635001183,52.363593787,0.094556809,253.628802776,255,13329.148811340
Hg_0_uM_B_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,151,18555.355004311,122.883145724,1.047086716,254.707124521,255,31308.089454095
Hg_0_uM_B_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,27,1552.265011787,57.491296733,0.087594987,255.000000000,255,14660.280580874
Hg_0_uM_B_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,111,12224.192456245,110.127859966,0.689816472,254.489962879,255,28062.221688485
Hg_0_uM_B_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,28,1531.139997482,54.683571339,0.086402893,254.913265228,255,13940.462960379
Hg_0_uM_B_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,76,8953.619977951,117.810789184,0.505256652,254.920144131,255,30031.828144274
Hg_0_uM_B_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,37,1879.280016899,50.791351808,0.106048585,253.847360559,255,12928.500032992
Hg_0_uM_B_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,105,12408.402509689,118.175261997,0.700211526,254.802932303,255,30120.326853144
Hg_0_uM_B_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,49,2308.117508888,47.104438957,0.130248070,254.961355715,255,12005.035808952
Hg_0_uM_B_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,114,12666.127505302,111.106381625,0.714755059,254.866716084,255,28324.566800302
Hg_0_uM_B_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,34,1272.147497177,37.416102858,0.071787834,254.931506886,255,9534.768777286
Hg_0_uM_B_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,111,11028.517518044,99.356013676,0.622344018,254.855770214,255,25323.165441565
Hg_0_uM_C_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,89,2984.540000916,33.534157314,0.168418884,254.784016641,255,8546.367952840
Hg_0_uM_C_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,437,40020.889974594,91.580983924,2.258396147,254.935886654,255,23347.973543425
Hg_0_uM_C_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,106,4799.599992752,45.279245215,0.270843505,254.959905660,255,11545.191175929
Hg_0_uM_C_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,283,24327.127513885,85.961581321,1.372790337,254.795509419,255,21908.401577683
Hg_0_uM_C_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,122,7118.279973030,58.346557156,0.401687621,254.980567557,255,14875.722824347
Hg_0_uM_C_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,296,26802.554953575,90.549172140,1.512479779,254.923188751,255,23083.123411436
Hg_0_uM_C_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,155,7629.504984856,49.222612806,0.430536269,254.965895228,255,12550.376105721
Hg_0_uM_C_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,374,33017.952493668,88.283295438,1.863217353,254.914526139,255,22505.614743483
Hg_0_uM_C_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,134,6425.379963875,47.950596745,0.362586973,254.538905927,255,12220.166115832
Hg_0_uM_C_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,366,41573.577588081,113.589009804,2.346014981,254.746661702,255,28943.708828285
Hg_0_uM_C_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,109,5497.147523880,50.432546091,0.310206415,254.363536590,255,12849.426596545
Hg_0_uM_C_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,301,33605.650028229,111.646677835,1.896381380,254.818119543,255,28452.006162726
Hg_0_uM_C_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,202,7595.282517433,37.600408502,0.428605081,254.982222529,255,9585.970752678
Hg_0_uM_C_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,471,45220.597488403,96.009761122,2.551817893,254.881653804,255,24469.450833396
Hg_0_uM_C_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,134,7565.707520485,56.460503884,0.426936151,254.821080222,255,14391.800464232
Hg_0_uM_C_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,306,17577.267465591,57.442050541,0.991892813,254.618556602,255,14639.272892971
Hg_0_uM_C_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,167,7622.322492599,45.642649656,0.430130958,254.934490272,255,11635.649960821
Hg_0_uM_C_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,335,21877.050063133,65.304627054,1.234531406,254.684391398,255,16643.031679979
Hg_0_uM_C_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,101,4899.732518196,48.512203150,0.276494027,254.824719268,255,12365.278238127
Hg_0_uM_C_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,218,19134.602582932,87.773406344,1.079773908,254.889763228,255,22373.322784144
Hg_100_uM_A_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,189,20436.324974060,108.128703566,1.153230666,254.909235879,255,27568.259049996
Hg_100_uM_A_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,194,12563.459973335,64.760102955,0.708961485,254.546854393,255,16501.608641320
Hg_100_uM_A_220216_1_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,384,34323.477525711,89.384056057,1.936888696,254.965866208,255,22790.970341365
Hg_100_uM_A_220216_1_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,392,27951.332487106,71.304419610,1.577305793,254.898145598,255,18174.931438212
Hg_100_uM_A_220216_2_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,262,27165.060042381,103.683435276,1.532936099,254.961887156,255,26435.163784813
Hg_100_uM_A_220216_2_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,245,16194.847536087,66.101418515,0.913882258,254.908945948,255,16851.464304648
Hg_100_uM_A_220216_3_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,131,15924.025009155,121.557442818,0.898599625,254.816809967,255,30991.390893368
Hg_100_uM_A_220216_3_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,122,9118.817524910,74.744405942,0.514578821,254.838363773,255,19053.641853708
Hg_100_uM_A_220216_4_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,132,14643.849971771,110.938257362,0.826358794,254.660745679,255,28280.277652625
Hg_100_uM_A_220216_4_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,118,7180.387528419,60.850741766,0.405192377,254.775624291,255,15511.460927155
Hg_100_uM_A_220216_5_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,138,15856.847471237,114.904691821,0.894808768,254.909840902,255,29296.793005902
Hg_100_uM_A_220216_5_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,139,9838.335026741,70.779388682,0.555181505,254.891593000,255,18042.543295442
Hg_100_uM_A_220216_6_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,143,13534.364986420,94.645908996,0.763750076,254.681579590,255,24125.665832946
Hg_100_uM_A_220216_6_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,126,8066.792533875,64.022162967,0.455212595,253.682235718,255,16290.594083271
Hg_100_uM_A_220216_7_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,160,18935.182560921,118.344891006,1.068520549,254.114654064,255,30156.399665833
Hg_100_uM_A_220216_7_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,132,7955.252537727,60.267064680,0.448918345,254.025178389,255,15346.064216383
Hg_100_uM_A_220216_8_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,111,13172.282531738,118.669211998,0.743317606,254.685480891,255,30247.060441301
Hg_100_uM_A_220216_8_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,92,6221.734996796,67.627554313,0.351095199,254.864224973,255,17235.657921833
Hg_100_uM_A_220216_9_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,78,8190.162536621,105.002083803,0.462174418,254.925294534,255,26771.387617062
Hg_100_uM_A_220216_9_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,72,5730.367492676,79.588437398,0.323367118,254.859335793,255,20283.080776638
Hg_100_uM_B_220216_10_w1Fluo - GFP quad single.TIF_bgd_substracted.tif,183,19029.400021553,103.985792468,1.073837281,254.934464752,255,26514.022147424
Hg_100_uM_B_220216_10_w2Fluo - DAPI quad single.TIF_bgd_substracted.tif,189,11233.852505684,59.438373046,0.633931160,254.772532630,255,15147.094441086
