"","conc","replicate","mean_viability","sd","median_viability","n_DAPI","n_GFP","n_images","relative_viability"
"1",0,"A",0.698031053599804,0.069168602506606,0.703456640388114,1943,607,10,1.0741079860022
"2",0,"B",0.647746354462947,0.103336537346843,0.639598997493734,1394,498,10,0.99673149015997
"3",0,"C",0.603833979330019,0.0802562374297329,0.586699667582021,3387,1319,10,0.929160523837826
"4",0.1,"A",0.581522036954859,0.140684509037768,0.587473290598291,1793,768,10,0.894827616491098
"5",0.1,"B",0.684735638456249,0.129510770340965,0.698444779391614,1623,462,10,1.0536494240095
"6",0.1,"C",0.562418497366539,0.155299568429493,0.599024843278384,3005,1265,10,0.865431697316867
"7",1,"A",0.710554407068284,0.113993415376844,0.710128075497135,3077,890,10,1.09337852404296
"8",1,"B",0.64120669390787,0.0843450076307133,0.650866738894908,1112,382,10,0.986668468476727
"9",5,"A",0.506248451386699,0.134888413273766,0.472746612921285,1905,955,10,0.778999016922612
"10",5,"B",0.613179431345349,0.127336348710732,0.655714285714286,2028,749,10,0.943541008188342
"11",5,"C",0.55928594984747,0.138136870657841,0.568605503093455,2639,1125,10,0.860611432818014
"12",50,"A",0.417623284422063,0.103437555127248,0.413523590993833,3231,1889,10,0.64262542851766
"13",50,"B",0.319134720091563,0.137035805458539,0.317430717430717,1234,806,10,0.491074357928855
"14",50,"C",0.482262876165086,0.0741208391307785,0.472262853799459,3020,1575,10,0.742090776577817
"15",100,"A",0.00533756037459113,0.00970459456731488,0,1632,1728,10,0.00821326815555139
"16",100,"B",0.0320234590987789,0.0204523086846011,0.0337301587301587,3193,3101,10,0.0492766804285096
"17",100,"C",0.00596028538105867,0.00941668917082858,0,2882,2887,10,0.00917149759116262
"18",200,"A",0.0551938206517489,0.0349837691210205,0.0525905726529022,2989,2814,10,0.0849304959059969
"19",200,"B",0.019655378010299,0.0267516760208936,0,2010,2015,10,0.0302450705880174
"20",200,"C",0.0603400371987949,0.0429876086729953,0.0620076644666808,2223,2102,10,0.0928493302649736
"21",500,"A",0.0632301967615026,0.0497258428064709,0.0545770036668413,1991,1842,10,0.09729661588517
"22",500,"B",0.0423047601129439,0.0537883740127754,0.0248178506375228,3331,3187,10,0.0650972194559014
"23",500,"C",0.0490905260765168,0.0476902068875519,0.0372146118721461,1877,1777,10,0.0755389403149198
